17:17:16.231 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
18:41:18.472 [Worker-60: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
18:44:19.402 [Worker-65: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:44:19.417 [Worker-65: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:44:19.422 [Worker-65: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:44:19.424 [Worker-65: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
18:45:51.857 [Worker-61: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:45:51.871 [Worker-61: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:45:51.878 [Worker-61: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:45:51.879 [Worker-61: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:02:32.211 [Worker-67: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:02:32.228 [Worker-67: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:02:32.232 [Worker-67: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:02:32.235 [Worker-67: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:06:52.786 [Worker-62: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:06:52.801 [Worker-62: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:06:52.811 [Worker-62: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:06:52.814 [Worker-62: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:08:25.879 [Worker-75: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:08:25.884 [Worker-75: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:08:25.891 [Worker-75: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:08:25.893 [Worker-75: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:19:30.073 [Worker-81: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:19:30.077 [Worker-81: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:19:30.079 [Worker-81: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:19:30.079 [Worker-81: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:19:32.547 [Worker-81: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:20:00.002 [Worker-69: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:20:00.007 [Worker-69: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:20:00.009 [Worker-69: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:29:50.147 [Worker-86: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:29:50.160 [Worker-86: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:29:50.162 [Worker-86: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:29:50.163 [Worker-86: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:32:08.714 [Worker-92: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:32:08.718 [Worker-92: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:32:08.721 [Worker-92: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:32:08.722 [Worker-92: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:32:35.592 [Worker-88: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:32:35.594 [Worker-88: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:32:35.597 [Worker-88: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:32:35.598 [Worker-88: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:36:02.006 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:36:02.014 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:36:02.018 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:36:02.020 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:36:50.871 [Worker-95: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:36:50.873 [Worker-95: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:36:50.878 [Worker-95: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:36:50.879 [Worker-95: Launching demoTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:38:55.485 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
19:38:55.485 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:38:55.487 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
19:38:55.488 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
19:38:55.488 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:38:55.491 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
19:39:05.965 [Worker-94: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:39:05.967 [Worker-94: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:39:05.970 [Worker-94: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:39:05.971 [Worker-94: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:40:07.688 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
19:40:07.688 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:40:07.691 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
19:40:07.692 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
19:40:07.692 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:40:07.695 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
19:40:12.974 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:40:12.976 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:40:12.980 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:40:12.981 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:48:05.595 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:48:05.739 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:48:05.756 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:48:05.760 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:50:44.781 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:50:44.789 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:50:44.795 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:50:44.797 [Worker-93: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:53:50.984 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
19:53:50.992 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:53:50.997 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/Demo
19:53:50.999 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
19:53:50.999 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:53:51.002 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/Demo
19:54:28.187 [Worker-108: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:54:28.190 [Worker-108: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:54:28.195 [Worker-108: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:54:28.197 [Worker-108: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
19:55:53.971 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
19:55:53.975 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
19:55:53.978 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
19:55:53.980 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:01:10.643 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:01:10.661 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:01:10.669 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:01:10.672 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:02:39.057 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:02:39.061 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:02:39.068 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:02:39.071 [Worker-113: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:05:54.321 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:05:54.335 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:05:54.343 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:05:54.346 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:08:45.929 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:08:45.940 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:08:45.949 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:08:45.953 [Worker-114: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:16:51.177 [Worker-122: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:16:51.184 [Worker-122: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:16:51.188 [Worker-122: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:16:51.188 [Worker-122: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:24:15.326 [Worker-126: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:24:15.348 [Worker-126: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:24:15.356 [Worker-126: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:24:15.358 [Worker-126: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:46:15.190 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:46:15.202 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:46:15.204 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:46:15.205 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:48:00.720 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:48:00.723 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:48:00.754 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:48:00.754 [Worker-134: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:49:05.784 [Worker-135: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:49:05.785 [Worker-135: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:49:05.828 [Worker-135: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:49:05.829 [Worker-135: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:50:24.140 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:50:24.141 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:50:24.153 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
20:50:24.154 [Worker-132: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.8}
20:51:22.054 [Worker-136: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
20:51:22.055 [Worker-136: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
20:51:22.098 [Worker-136: Launching Demo_src.main.java.testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
